[2026-03-26 08:55:00] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:00] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:00] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:00] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:00] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:00] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:01] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:01] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:01] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:01] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:01] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:01] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:01] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:01] TCP | 192.168.18.132:61669 -> 160.79.104.10:443
[2026-03-26 08:55:01] TCP | 160.79.104.10:443 -> 192.168.18.132:61669
[2026-03-26 08:55:01] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:01] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:01] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:01] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:01] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:01] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:01] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:01] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:02] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:02] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:02] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:02] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:02] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:02] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:02] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:02] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:02] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:02] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:02] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:02] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:03] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:03] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:03] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:03] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:03] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:03] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:03] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:03] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:03] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:03] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:03] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:03] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:03] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:03] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:03] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:03] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:04] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
[2026-03-26 08:55:04] UDP | 52.115.240.244:3478 -> 192.168.18.132:49210
[2026-03-26 08:55:04] UDP | 192.168.18.132:49210 -> 52.115.240.244:3478
